Org.nr,ID,Selskap,rho,sum ir k per sum akg,sum renter avvik,inntektsramme 2026,D&V-kostnader eks utredningskostnader,Årslønn-justerte D&V-kostnader eks utredningskostnader,AVS,BFV,AKG (inkl 1 % arbeids-kapital),Nettap MWh i LD,Nettap MWh i RD,Nettaps- kostnad i LD,Nettaps- kostnad i RD,KILE,KPI-justert KILE,Årslønn-justerte kostnader knyttet til utred.ansvar og KDS,Sum kostnader,Kostnadsgrunnlag,K* lok distribusjonsnett,K* reg distribusjonsnett,Inntektsramme før kalibrering,Tillegg i kostnadsnorm for kundevekst,K* etter kalibrering,Inntektsramme etter kalibrering
968398083,157,RAKKESTAD ENERGI AS,0.7,-0.00023,-0.00098,,16064.87305023694,17524.191772275397,5752,122364,123587.64,5706,300,3562.3690641000007,187.29595500000005,377,396.7529940119761,0,27422.609785387373,37467.68640803353,35816.19540760481,1615.7545468016694,37311.56372199459,0,37645.580017835055,37592.2119348946
925017809,161,RK NETT AS,0.7,-0.00023,-0.00098,,18382.989735560837,20052.88410722841,3636,63226,63858.259999999995,3555,1840,2384.1673267499996,1233.999404,779,819.8158682634731,0,28126.866706241883,33317.2005833906,29480.272878051335,3240.781639589457,32036.098754565734,0,32831.438081355074,32977.16683196573
926377841,162,ROMSDALSNETT AS,0.7,-0.00023,-0.00098,,20643.715112019392,22518.97175806888,8577,218250,220432.5,9115,229,3473.5154877500004,87.26659865,1861,1958.5074850299404,0,36615.261329498826,54531.78884488344,47527.35612907695,6058.885704529073,53808.81931793425,0,53967.27515503459,54136.62926198925
923993355,164,AREA NETT AS,0.7,-0.00023,-0.00098,,92481.9984421826,100882.98059474421,24461,510515,515620.15,14412,11788,3258.5000197199997,2665.22330228,10563,11116.450598802396,0,142384.1545155466,184293.2314663671,111298.8688885816,52835.719667107755,168316.52511729667,17338,182363.87481497508,182942.6818103927
930187240,167,HYDRO ENERGI AS,0.7,-0.00023,-0.00098,,1232.332262718309,1344.2762249975704,398,10064,10164.64,275,0,184.42925874999997,0.0,9,9.471556886227546,0,1936.1770406337978,2762.348554562003,1986.4190801538225,,2219.1979224762767,0,2003.9893864395367,2231.4971368762767
925067911,168,R-NETT AS,0.7,-0.00023,-0.00098,,9570.314203558051,10439.672999570252,1681,42966,43395.66,1453,0,907.1367420500002,0.0,193,203.11227544910182,0,13230.922017069355,16758.076753500125,17431.5216732814,,17229.48819734702,0,17506.5341712814,17281.99694594702
919884452,173,RØROS E-VERK NETT AS,0.7,-0.00023,-0.00098,,29109.92093436219,31754.240157037122,6461,191917,193836.16999999998,7048,728,4400.206302800001,454.5048508000001,651,685.1092814371258,0,43755.06059207425,59509.86568334605,42556.58311825008,11676.773926807826,55498.15624098435,1393,55961.41671034361,57025.95140224435
920295975,194,SKIAKERNETT AS (Inaktiv i brreg),0.7,-0.00023,-0.00098,,12481.48239356985,13615.289108305216,2118,35859,36217.59,2187,0,833.4150709500001,0.0,175,184.16916167664672,0,16750.873340931863,19694.60190988571,19635.3668451869,,19653.137364596543,0,19697.971536472614,19696.960648496544
924619260,197,SYGNIR AS,0.7,-0.00023,-0.00098,,56281.55942614942,61394.126025291545,33436,1127865,1139143.65,13281,23128,7407.0474456,12898.892652800001,4714,4960.991017964072,698,120795.0571416556,213383.4846611941,126581.07896299293,57819.84175731778,184066.46504561574,2837,189207.0118867393,196459.9537190757
925354813,213,STRAUMEN NETT AS,0.7,-0.00023,-0.00098,,16481.17898624418,17978.314567750578,3610,90095,90995.95000000001,5952,0,2268.1694112,0.0,1399,1472.300898203593,0,25328.784877154172,32724.842363974687,28775.637449762715,1745.4252385769742,31182.196591030188,0,30678.355687625404,31292.301690530192
997712099,214,SØR AURDAL ENERGI AS,0.7,-0.00023,-0.00098,,19389.21496253242,21150.513935264386,8684,131294,132606.94,4115,0,2569.0761827500005,0.0,434,456.73952095808386,0,32860.32963897247,43638.48571505452,36735.22723253812,,38806.20477729304,897,37861.447800252405,39594.55917469304
978631029,215,TENSIO TS AS,0.7,-0.00023,-0.00098,,407593.111075392,444618.50530702877,196193,5561414,5617028.140000001,180648,118255,68840.7707988,45064.24289675,43536,45817.07784431138,12005,812538.5968468902,1269084.8830115877,941074.3269094789,430056.9576573074,1308972.3940725017,0,1380840.7189230719,1347313.9681496266
916763476,222,TINFOS AS,0.7,-0.00023,-0.00098,,981.7399842228834,1070.9203677011744,629,3545,3580.45,242,891,162.29774769999997,597.5507983499999,0,0.0,0,2459.7689137511743,2750.784217494764,2078.666365763668,900.1521752357621,2492.12268510303,0,2985.007604570859,2914.7405884480304
924940379,223,STANNUM AS,0.7,-0.00023,-0.00098,,26602.317327096163,29018.848077363557,6370,200852,202860.52,14102,0,9457.5323887,0.0,1014,1067.12874251497,0,45913.50920857852,62401.80421210673,52963.6442881199,,55795.09226531595,1717,55031.30318697704,57242.453494515954
979151950,227,ARVA AS,0.7,-0.00023,-0.00098,,407721.5245873198,444758.58378770755,203014,6047206,6107678.0600000005,137746,171762,31143.86231726,38834.75439822,75453,79406.37574850301,4951,802108.5762516906,1298534.384683301,846777.0953368732,371852.16457559593,1215416.4692649646,5295,1234481.8177018978,1253697.5877963188
919415096,238,INDRE HORDALAND KRAFTNETT AS,0.7,-0.00023,-0.00098,,33133.950979623434,36143.80949817275,11504,260711,263318.11,12392,1377,6911.2364992,767.9771352,1486,1563.859281437126,0,56890.88241400987,78293.10832495347,64314.80912920085,11636.627757052396,76116.35432322332,0,76406.60104782468,76972.55323096331
967670170,242,UVDAL KRAFTFORSYNING SA,0.7,-0.00023,-0.00098,,12225.3717937238,13335.913650274537,1887,43204,43636.04,2229,0,1243.1525304000002,0.0,284,298.8802395209581,0,16764.946420195494,20311.638996482674,16020.548134979636,,17307.87539343055,432,16527.976146979636,17663.075001830548
824368082,248,VANG ENERGIVERK AS,0.7,-0.00023,-0.00098,,12895.33400731677,14066.734633077645,4399,103724,104761.24,3402,0,2123.9361297000005,0.0,306,322.03293413173657,0,20911.703696909382,29426.589836683743,26417.044894739127,,27319.908377322514,0,26598.13218102484,27446.669477722513
971058854,249,BARENTS NETT AS,0.7,-0.00023,-0.00098,,80536.73897003528,87852.62441919938,45787,1363179,1376810.79,27162,29086,6141.22797222,6576.23727266,5601,5894.465568862276,796,153047.5552329416,264953.32413051085,137883.4899679864,92658.72051465204,236262.17848613817,3034,235956.12627678132,244655.2856329002
925803375,251,TELEMARK NETT AS,0.7,-0.00023,-0.00098,,68735.51593411335,74979.38882112288,16710,636034,642394.3400000001,18540,10371,12433.885299,6955.330336349999,6787,7142.60628742515,0,118221.21074389803,170434.3638331083,129786.10999204931,25382.337979096956,154879.4914942899,0,156278.87247314627,160525.51988113488
918312730,257,ENIDA AS,0.7,-0.00023,-0.00098,,49168.87632274426,53635.33314036075,15084,462821,467449.20999999996,16299,2876,10930.954503149998,1928.7947206,10265,10802.836826347306,0,92381.91919045805,130375.71154417087,101357.35628447085,22766.030182863306,124648.92768596517,880,125811.40581604844,127180.69753448517
979497482,264,ELVENETT AS,0.7,-0.00023,-0.00098,,25431.12679925749,27741.267647842848,11089,167475,169149.75,17452,0,10895.630022200003,0.0,132,138.91616766467067,0,49864.813837707516,63613.13203078444,65715.58002593559,,65084.84562739024,0,66007.96745093558,65289.51682489024
922694435,267,STRAUMNETT AS,0.7,-0.00023,-0.00098,,16065.052358998262,17524.387369284475,5312,90756,91663.56,3582,0,1997.7444432000002,0.0,274,288.35628742514973,0,25122.488099909628,32572.808242801937,24734.59279908254,605.2920919032957,27509.76189653067,0,25498.33190184298,27620.674804130664
912631532,269,LINJA AS,0.7,-0.00023,-0.00098,,394625.39940582536,430472.81828949536,207985,5966460,6026124.6,130390,168119,51478.27706972329,66373.7745431767,44979,47335.68413173653,2159,805804.5540341317,1295601.7808815164,750063.9992948616,542890.820698722,1247287.2660797397,0,1303371.4068021548,1301040.5190259633
923819177,274,S-NETT AS,0.7,-0.00023,-0.00098,,28824.78852121505,31443.206570101403,13207,255751,258308.50999999998,11119,1129,4237.193495150001,430.23576365,3726,3921.224550898204,0,53238.86037979961,74233.91114079449,64871.028964102356,4505.453337006519,70532.54591845957,305,70127.98701125172,71359.76425011456
971589752,275,FØIE AS,0.7,-0.00023,-0.00098,,195067.84685180098,212787.6358652825,53268,1181546,1193361.46,76143,4576,44405.98948010398,2668.686653546036,14517,15277.621257485032,0,328407.9332564175,425403.1287647457,398473.3928987915,28575.870662552858,424687.3424648826,4089,433201.07408505864,430861.6904889648
971040246,287,USTEKVEIKJA KRAFTVERK DA,0.7,-0.00023,-0.00098,,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,0.0,0,0.0,0.0
917537534,294,HYDRO ALUMINIUM AS,0.7,-0.00023,-0.00098,,15890.55078342129,17334.03422641106,10077,58021,58601.21,5951,0,3091.06164235,0.0,576,606.179640718563,0,31108.275509479623,35871.3217544745,27488.595914932914,,30003.413666795386,0,27589.89229221863,30074.32113089539
916319908,295,VEVIG AS,0.7,-0.00023,-0.00098,,78235.86550913483,85342.74166777833,21335,570142,575843.42,21349,4776,13328.604477650002,2981.7516036000006,4482,4716.835329341317,1,127705.93307836966,174509.89564733376,134005.45547303872,24104.84116071234,160942.95021530587,0,159105.68311689392,163726.94687602588
953681781,306,GRIUG AS,0.7,-0.00023,-0.00098,,46334.46650687801,50543.448067933896,11150,299312,302305.12,15487,0,9668.841516950002,0.0,2660,2799.37125748503,0,74161.66084236893,98732.71093943561,96511.47575781537,,97177.84631230144,0,97034.03175095822,97543.63550750144
925668389,311,MELLOM AS,0.7,-0.00023,-0.00098,,104788.68732181095,114307.59810239116,35897,1070221,1080923.21,31381,23307,11958.572629850001,8881.75814295,5924,6234.389221556887,0,177279.3180967481,265135.64796635835,189021.83913399844,89051.36021934262,267974.70323718124,2792,282733.6523306268,277454.25102134625
966731508,349,EVERKET AS,0.7,-0.00023,-0.00098,,37602.97962047569,41018.80070994153,8376,317707,320884.07,9500,2496,6371.192574999999,1673.9470175999998,892,938.7365269461079,0,58378.676829487646,84459.80492722098,55628.451490185646,4713.855226644589,66405.79326762745,0,60896.97775211595,67965.82590464746
986347801,354,ELMEA AS,0.7,-0.00023,-0.00098,,99378.69248269475,108406.16416318588,52688,1958457,1978041.5699999998,21633,8500,4891.14147423,1921.8186349999999,35977,37862.02245508983,0,205769.14672750572,366542.3367765211,195004.93330873403,81149.45538975434,301925.5000773982,0,279573.5748409169,305664.2034215982
985411131,433,NORANETT AS,0.7,-0.00023,-0.00098,,151424.73050847443,165180.0178063959,56062,1274284,1287026.8399999999,52824,18693,11943.311479439999,4226.41832283,33013,34742.723053892216,3180,275334.4706625581,379942.6921902299,284737.161821578,65393.67641767065,356115.901598562,8900,361255.5560626772,366861.696900943
