id;selskap;nettnivaa;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
269;LINJA AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
274;S-NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
274;S-NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
275;FØIE AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
275;FØIE AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
287;USTEKVEIKJA KRAFTVERK DA;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
287;USTEKVEIKJA KRAFTVERK DA;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
294;HYDRO ALUMINIUM AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
294;HYDRO ALUMINIUM AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
295;VEVIG AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
295;VEVIG AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
306;GRIUG AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
306;GRIUG AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
311;MELLOM AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
311;MELLOM AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
319;STATNETT SF;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
319;STATNETT SF;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
349;EVERKET AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
349;EVERKET AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
354;ELMEA AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
354;ELMEA AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
433;NORANETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
433;NORANETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
447;HAFSLUND KRAFT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
447;HAFSLUND KRAFT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
464;VESTALL AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
464;VESTALL AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
503;FAGNE AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
503;FAGNE AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
511;LNETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
511;LNETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
542;ETNA NETT AS;dnett_pct;8.5;8.5;8.4;8.3;8.1;8.0;7.9;7.8;7.8;7.5
542;ETNA NETT AS;rnett_pct;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
566;BKK AS;dnett_pct;8.5;8.5;2.3;2.3;0.0;0.0;0.0;0.0;7.8;7.5
