orgn;selskap;nettnivaa;komponent;avg_5yr_1000NOK;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
919173122;MELØY ENERGI AS;rd;sf;-1.8;0.0;-7.0;0.0;0.0;-1.8;-1.8;-1.9;-1.9;-2.0;-2.0;-2.0;-2.1;-2.1;-2.2;-2.2
919173122;MELØY ENERGI AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
919415096;INDRE HORDALAND KRAFTNETT AS;ld;sf;8889.2;9954.0;10118.0;7530.0;7955.0;9067.0;9357.2;9581.8;9802.1;9988.4;10188.1;10391.9;10599.7;10811.7;11028.0;11248.5
919415096;INDRE HORDALAND KRAFTNETT AS;ld;gf;4867.5;1826.0;4290.0;8150.0;5204.0;4964.9;5123.7;5246.7;5367.4;5469.3;5578.7;5690.3;5804.1;5920.2;6038.6;6159.4
919415096;INDRE HORDALAND KRAFTNETT AS;rd;sf;12762.0;48929.0;1347.0;101.0;671.0;13017.2;13433.8;13756.2;14072.6;14340.0;14626.8;14919.3;15217.7;15522.0;15832.5;16149.1
919415096;INDRE HORDALAND KRAFTNETT AS;rd;gf;37.5;150.0;0.0;0.0;0.0;38.2;39.5;40.4;41.4;42.1;43.0;43.8;44.7;45.6;46.5;47.5
919884452;RØROS E-VERK NETT AS;ld;sf;10965.5;6078.0;8051.0;17635.0;12098.0;11184.8;11542.7;11819.7;12091.6;12321.3;12567.8;12819.1;13075.5;13337.0;13603.8;13875.8
919884452;RØROS E-VERK NETT AS;ld;gf;4402.5;3745.0;3197.0;3490.0;7178.0;4490.6;4634.2;4745.5;4854.6;4946.9;5045.8;5146.7;5249.6;5354.6;5461.7;5571.0
919884452;RØROS E-VERK NETT AS;rd;sf;1796.5;2572.0;0.0;0.0;4614.0;1832.4;1891.1;1936.5;1981.0;2018.6;2059.0;2100.2;2142.2;2185.0;2228.7;2273.3
919884452;RØROS E-VERK NETT AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
920295975;SKIAKERNETT AS (Inaktiv i brreg);ld;sf;3427.2;2504.0;3181.0;8516.0;-492.0;3495.8;3607.7;3694.2;3779.2;3851.0;3928.0;4006.6;4086.7;4168.5;4251.8;4336.9
920295975;SKIAKERNETT AS (Inaktiv i brreg);ld;gf;2899.5;4657.0;701.0;3055.0;3185.0;2957.5;3052.1;3125.4;3197.3;3258.0;3323.2;3389.6;3457.4;3526.6;3597.1;3669.1
920295975;SKIAKERNETT AS (Inaktiv i brreg);rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
920295975;SKIAKERNETT AS (Inaktiv i brreg);rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
921025610;SVABO INDUSTRINETT AS;ld;sf;5757.2;-3024.0;6937.0;2897.0;16219.0;5872.4;6060.3;6205.8;6348.5;6469.1;6598.5;6730.5;6865.1;7002.4;7142.4;7285.3
921025610;SVABO INDUSTRINETT AS;ld;gf;-0.2;0.0;0.0;-1.0;0.0;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3;-0.3
921025610;SVABO INDUSTRINETT AS;rd;sf;5994.0;6473.0;19099.0;-19833.0;18237.0;6113.9;6309.5;6461.0;6609.6;6735.1;6869.8;7007.2;7147.4;7290.3;7436.1;7584.9
921025610;SVABO INDUSTRINETT AS;rd;gf;8311.2;0.0;0.0;33245.0;0.0;8477.5;8748.8;8958.7;9164.8;9338.9;9525.7;9716.2;9910.5;10108.7;10310.9;10517.1
921680554;NORANETT ANDØY AS;ld;sf;9488.5;6967.0;4927.0;21097.0;4963.0;9678.3;9988.0;10227.7;10462.9;10661.7;10875.0;11092.5;11314.3;11540.6;11771.4;12006.8
921680554;NORANETT ANDØY AS;ld;gf;1417.2;2571.0;1260.0;1061.0;777.0;1445.6;1491.9;1527.7;1562.8;1592.5;1624.3;1656.8;1690.0;1723.8;1758.2;1793.4
921680554;NORANETT ANDØY AS;rd;sf;4884.2;2494.0;2386.0;7704.0;6953.0;4981.9;5141.4;5264.7;5385.8;5488.2;5597.9;5709.9;5824.1;5940.6;6059.4;6180.6
921680554;NORANETT ANDØY AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
921683057;VISSI AS;ld;sf;17207.5;10349.0;13421.0;10329.0;34731.0;17551.7;18113.3;18548.0;18974.6;19335.1;19721.8;20116.3;20518.6;20929.0;21347.6;21774.5
921683057;VISSI AS;ld;gf;8882.8;4540.0;5379.0;8467.0;17145.0;9060.4;9350.3;9574.7;9795.0;9981.1;10180.7;10384.3;10592.0;10803.8;11019.9;11240.3
921683057;VISSI AS;rd;sf;2769.0;1870.0;2171.0;4978.0;2057.0;2824.4;2914.8;2984.7;3053.4;3111.4;3173.6;3237.1;3301.8;3367.9;3435.2;3503.9
921683057;VISSI AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
921688679;NETTSELSKAPET AS;ld;sf;49137.0;34873.0;47872.0;69409.0;44394.0;50119.7;51723.6;52964.9;54183.1;55212.6;56316.9;57443.2;58592.1;59763.9;60959.2;62178.4
921688679;NETTSELSKAPET AS;ld;gf;17072.8;27385.0;2392.0;17808.0;20706.0;17414.2;17971.5;18402.8;18826.0;19183.7;19567.4;19958.8;20357.9;20765.1;21180.4;21604.0
921688679;NETTSELSKAPET AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
921688679;NETTSELSKAPET AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
922694435;STRAUMNETT AS;ld;sf;9041.2;5003.0;10266.0;10706.0;10190.0;9222.1;9517.2;9745.6;9969.7;10159.2;10362.4;10569.6;10781.0;10996.6;11216.5;11440.9
922694435;STRAUMNETT AS;ld;gf;2535.0;2933.0;2792.0;3005.0;1410.0;2585.7;2668.4;2732.5;2795.3;2848.4;2905.4;2963.5;3022.8;3083.2;3144.9;3207.8
922694435;STRAUMNETT AS;rd;sf;0.2;0.0;1.0;0.0;0.0;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
922694435;STRAUMNETT AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923152601;KYSTNETT AS;ld;sf;15395.5;20610.0;7894.0;9280.0;23798.0;15703.4;16205.9;16594.9;16976.5;17299.1;17645.1;17998.0;18357.9;18725.1;19099.6;19481.6
923152601;KYSTNETT AS;ld;gf;19290.2;16445.0;32854.0;11502.0;16360.0;19676.1;20305.7;20793.0;21271.3;21675.4;22108.9;22551.1;23002.1;23462.2;23931.4;24410.0
923152601;KYSTNETT AS;rd;sf;8794.8;9848.0;7222.0;10241.0;7868.0;8970.6;9257.7;9479.9;9697.9;9882.2;10079.8;10281.4;10487.1;10696.8;10910.7;11128.9
923152601;KYSTNETT AS;rd;gf;51383.2;8473.0;67271.0;104475.0;25314.0;52410.9;54088.1;55386.2;56660.1;57736.6;58891.3;60069.2;61270.5;62496.0;63745.9;65020.8
923354204;FJELLNETT AS;ld;sf;30926.5;18137.0;33349.0;33800.0;38420.0;31545.0;32554.5;33335.8;34102.5;34750.4;35445.5;36154.4;36877.5;37615.0;38367.3;39134.6
923354204;FJELLNETT AS;ld;gf;10898.5;9676.0;10937.0;11241.0;11740.0;11116.5;11472.2;11747.5;12017.7;12246.1;12491.0;12740.8;12995.6;13255.5;13520.6;13791.1
923354204;FJELLNETT AS;rd;sf;8569.5;4900.0;19613.0;6356.0;3409.0;8740.9;9020.6;9237.1;9449.5;9629.1;9821.7;10018.1;10218.5;10422.8;10631.3;10843.9
923354204;FJELLNETT AS;rd;gf;144.2;0.0;577.0;0.0;0.0;147.1;151.8;155.5;159.1;162.1;165.3;168.6;172.0;175.4;179.0;182.5
923436596;KLIVE AS;ld;sf;38424.8;17313.0;35552.0;42679.0;58155.0;39193.2;40447.4;41418.2;42370.8;43175.8;44039.3;44920.1;45818.5;46734.9;47669.6;48623.0
923436596;KLIVE AS;ld;gf;11894.0;18373.0;19975.0;3532.0;5696.0;12131.9;12520.1;12820.6;13115.5;13364.6;13631.9;13904.6;14182.7;14466.3;14755.7;15050.8
923436596;KLIVE AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923436596;KLIVE AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923488960;HØLAND OG SETSKOG ELVERK AS;ld;sf;8874.8;7547.0;6232.0;10874.0;10846.0;9052.2;9341.9;9566.1;9786.1;9972.1;10171.5;10375.0;10582.5;10794.1;11010.0;11230.2
923488960;HØLAND OG SETSKOG ELVERK AS;ld;gf;4287.8;3766.0;4792.0;5380.0;3213.0;4373.5;4513.5;4621.8;4728.1;4817.9;4914.3;5012.6;5112.8;5215.1;5319.4;5425.8
923488960;HØLAND OG SETSKOG ELVERK AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923488960;HØLAND OG SETSKOG ELVERK AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923789324;HARINGNETT AS;ld;sf;20326.2;11717.0;18113.0;34493.0;16982.0;20732.8;21396.2;21909.7;22413.7;22839.5;23296.3;23762.2;24237.5;24722.2;25216.7;25721.0
923789324;HARINGNETT AS;ld;gf;3556.8;3049.0;5564.0;3544.0;2070.0;3627.9;3744.0;3833.8;3922.0;3996.5;4076.5;4158.0;4241.1;4326.0;4412.5;4500.7
923789324;HARINGNETT AS;rd;sf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923789324;HARINGNETT AS;rd;gf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923819177;S-NETT AS;ld;sf;14279.5;11356.0;16692.0;16222.0;12848.0;14565.1;15031.2;15391.9;15745.9;16045.1;16366.0;16693.3;17027.2;17367.7;17715.1;18069.4
